,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
23,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,1.0
53,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.9
83,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.8
113,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.7
143,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.6
173,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.5
203,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.4
233,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.3
263,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.2
293,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.975,0.1
323,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,1.0
353,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.9
383,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.8
413,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.7
443,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.6
473,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.5
503,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.4
533,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.3
563,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.2
593,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.95,0.1
623,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.925,1.0
653,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.925,0.9
683,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.925,0.8
713,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.925,0.7
743,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.925,0.6
773,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89,0.925,0.5
