,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
18,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,1.0
48,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.9
78,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.8
108,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.7
138,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.6
168,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.5
198,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.4
228,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.3
258,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.2
288,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.975,0.1
318,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,1.0
348,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.9
378,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.8
408,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.7
438,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.6
468,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.5
498,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.4
528,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.3
558,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.2
588,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.95,0.1
618,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,1.0
648,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.9
678,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.8
708,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.7
738,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.6
768,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.5
798,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.4
828,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.3
858,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.2
888,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.925,0.1
918,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,1.0
948,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.9
978,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.8
1008,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.7
1038,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.6
1068,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.5
1098,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.4
1128,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.3
1158,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.2
1188,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.9,0.1
1218,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,1.0
1248,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.9
1278,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.8
1308,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.7
1338,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.6
1368,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.5
1398,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.4
1428,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.3
1458,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.2
1488,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.875,0.1
1518,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,1.0
1548,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.9
1578,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.8
1608,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.7
1638,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.6
1668,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.5
1698,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.4
1728,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.3
1758,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.2
1788,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.85,0.1
1818,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,1.0
1848,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.9
1878,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.8
1908,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.7
1938,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.6
1968,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.5
1998,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.4
2028,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.3
2058,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.2
2088,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.825,0.1
2118,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,1.0
2148,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.9
2178,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.8
2208,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.7
2238,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.6
2268,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.5
2298,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.4
2328,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.3
2358,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.2
2388,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.8,0.1
2418,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,1.0
2448,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.9
2478,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.8
2508,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.7
2538,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.6
2568,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.5
2598,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.4
2628,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.3
2658,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.2
2688,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.775,0.1
2718,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,1.0
2748,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.9
2778,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.8
2808,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.7
2838,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.6
2868,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.5
2898,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.4
2928,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.3
2958,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.2
2988,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.1
3028,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.2
3058,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96,0.75,0.1
