,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87
1,24-25,0.3,15,4,19,19,20,0.79,0.95,0.75
2,24-25,1,19,11,30,20,20,0.63,1.5,0.95
3,24-25,3,16,3,19,16,18,0.84,1.06,0.89
4,24-25,10,8,0,8,13,25,1,0.32,0.32
