,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,23-24,0.1,16,64,80,17,17,0.2,4.71,0.94
1,23-24,0.3,25,1,26,26,26,0.96,1,0.96
2,23-24,1,24,1,25,24,24,0.96,1.04,1
3,23-24,3,22,0,22,22,22,1,1,1
4,23-24,10,12,0,12,12,12,1,1,1
