,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,25-26,0.1,9,1,10,27,27,0.9,0.37,0.33
1,25-26,0.3,13,0,13,23,23,1,0.57,0.57
2,25-26,1,9,67,76,16,16,0.12,4.75,0.56
3,25-26,3,20,5,25,21,21,0.8,1.19,0.95
4,25-26,10,0,0,0,2,2,0,0,
