,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,21-22,0.1,25,38,63,25,25,0.4,2.52,1
1,21-22,0.3,29,5,34,30,30,0.85,1.13,0.97
2,21-22,1,21,0,21,21,21,1,1,1
3,21-22,3,17,2,19,18,18,0.89,1.06,0.94
4,21-22,10,14,1,15,15,15,0.93,1,0.93
