,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
5,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,1.0
35,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.9
65,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.8
95,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.7
125,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.6
155,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.5
185,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.4
215,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.3
245,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.975,0.2
275,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.975,0.1
305,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,1.0
335,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.9
365,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.8
395,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.7
425,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.6
455,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.5
485,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.4
515,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.3
545,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.95,0.2
575,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.95,0.1
605,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,1.0
635,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.9
665,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.8
695,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.7
725,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.6
755,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.5
785,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.4
815,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.3
845,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.925,0.2
875,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.925,0.1
905,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,1.0
935,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.9
965,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.8
995,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.7
1025,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.6
1055,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.5
1085,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.4
1115,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.3
1145,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.9,0.2
1175,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.9,0.1
1205,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,1.0
1235,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.9
1265,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.8
1295,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.7
1325,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.6
1355,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.5
1385,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.4
1415,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.3
1445,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0,0.875,0.2
1475,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.875,0.1
1505,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,1.0
1535,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.9
1565,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.8
1595,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.7
1625,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.6
1655,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.5
1685,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.4
1715,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.3
1745,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.2
1775,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.85,0.1
1805,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,1.0
1835,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.9
1865,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.8
1895,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.7
1925,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.6
1955,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.5
1985,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.4
2015,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.3
2045,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.2
2075,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.825,0.1
2105,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,1.0
2135,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.9
2165,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.8
2195,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.7
2225,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.6
2255,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.5
2285,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.4
2315,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.3
2345,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.2
2375,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0,0.8,0.1
