,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,22-23,0.1,19,55,74,19,19,0.26,3.89,1
1,22-23,0.3,36,0,36,37,37,1,0.97,0.97
2,22-23,1,20,0,20,20,20,1,1,1
3,22-23,3,20,1,21,20,20,0.95,1.05,1
4,22-23,10,14,0,14,14,14,1,1,1
