,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
24,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,1.0
54,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.9
84,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.8
114,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.7
144,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.6
174,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.5
204,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.4
234,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.3
264,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.2
294,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.975,0.1
324,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,1.0
354,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.9
384,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.8
414,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.7
444,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.6
474,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.5
504,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.4
534,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.3
564,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.2
594,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.95,0.1
624,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.925,1.0
654,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.925,0.9
684,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.925,0.8
714,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.925,0.7
744,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.925,0.6
774,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.925,0.5
804,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32,0.925,0.4
