,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
2,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.975,1.0
32,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.975,0.9
62,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.975,0.8
92,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.975,0.7
122,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.975,0.6
152,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.975,0.5
182,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.975,0.4
212,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.975,0.3
242,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.975,0.2
272,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.975,0.1
302,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.95,1.0
332,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.95,0.9
362,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.95,0.8
392,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.95,0.7
422,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.95,0.6
452,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.95,0.5
482,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.95,0.4
512,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.95,0.3
542,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.95,0.2
572,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0,0.95,0.1
602,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.925,1.0
632,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.925,0.9
662,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0,0.925,0.8
