,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
13,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,1.0
43,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.9
73,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.8
103,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.7
133,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.6
163,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.5
193,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.4
223,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.3
253,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.2
283,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.975,0.1
313,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,1.0
343,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.9
373,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.8
403,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.7
433,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.6
463,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.5
493,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.4
523,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.3
553,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.2
583,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.95,0.1
613,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,1.0
643,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.9
673,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.8
703,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.7
733,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.6
763,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.5
793,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.4
823,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.3
853,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.2
883,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.925,0.1
913,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,1.0
943,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.9
973,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.8
1003,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.7
1033,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.6
1063,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.5
1093,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.4
1123,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.3
1153,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.2
1183,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.9,0.1
1213,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,1.0
1243,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.9
1273,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.8
1303,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.7
1333,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.6
1363,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.5
1393,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.4
1423,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.3
1453,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.2
1483,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.875,0.1
1513,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,1.0
1543,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.9
1573,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.8
1603,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.7
1633,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.6
1663,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.5
1693,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.4
1723,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.3
1753,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.2
1783,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.85,0.1
1813,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,1.0
1843,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.9
1873,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.8
1903,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.7
1933,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.6
1963,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.5
1993,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.4
2023,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.3
2053,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.2
2083,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.825,0.1
2113,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.8,1.0
2143,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.8,0.9
2173,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.8,0.8
2203,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95,0.8,0.7
