,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
27,25-26,1.0,5,18,23,16,19,0.22,1.21,0.26,0.975,1.0
57,25-26,1.0,6,27,33,16,19,0.18,1.74,0.32,0.975,0.9
87,25-26,1.0,6,37,43,16,19,0.14,2.26,0.32,0.975,0.8
117,25-26,1.0,8,49,57,16,19,0.14,3.0,0.42,0.975,0.7
147,25-26,1.0,9,67,76,16,19,0.12,4.0,0.47,0.975,0.6
177,25-26,1.0,13,100,113,16,19,0.12,5.95,0.68,0.975,0.5
207,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.975,0.4
237,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.975,0.3
267,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.975,0.2
297,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.975,0.1
327,25-26,1.0,5,18,23,16,19,0.22,1.21,0.26,0.95,1.0
357,25-26,1.0,6,27,33,16,19,0.18,1.74,0.32,0.95,0.9
387,25-26,1.0,6,37,43,16,19,0.14,2.26,0.32,0.95,0.8
417,25-26,1.0,8,49,57,16,19,0.14,3.0,0.42,0.95,0.7
447,25-26,1.0,9,67,76,16,19,0.12,4.0,0.47,0.95,0.6
477,25-26,1.0,13,100,113,16,19,0.12,5.95,0.68,0.95,0.5
507,25-26,1.0,13,100,113,16,19,0.12,5.95,0.68,0.95,0.4
537,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.95,0.3
567,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.95,0.2
597,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.95,0.1
627,25-26,1.0,5,18,23,16,19,0.22,1.21,0.26,0.925,1.0
657,25-26,1.0,6,27,33,16,19,0.18,1.74,0.32,0.925,0.9
687,25-26,1.0,6,37,43,16,19,0.14,2.26,0.32,0.925,0.8
717,25-26,1.0,8,49,57,16,19,0.14,3.0,0.42,0.925,0.7
747,25-26,1.0,9,67,76,16,19,0.12,4.0,0.47,0.925,0.6
777,25-26,1.0,13,100,113,16,19,0.12,5.95,0.68,0.925,0.5
807,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.925,0.4
837,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.925,0.3
867,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.925,0.2
897,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.925,0.1
927,25-26,1.0,5,18,23,16,19,0.22,1.21,0.26,0.9,1.0
957,25-26,1.0,6,27,33,16,19,0.18,1.74,0.32,0.9,0.9
987,25-26,1.0,6,37,43,16,19,0.14,2.26,0.32,0.9,0.8
1017,25-26,1.0,8,49,57,16,19,0.14,3.0,0.42,0.9,0.7
1047,25-26,1.0,9,67,76,16,19,0.12,4.0,0.47,0.9,0.6
1077,25-26,1.0,13,100,113,16,19,0.12,5.95,0.68,0.9,0.5
1107,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.9,0.4
1137,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.9,0.3
1167,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.9,0.2
1197,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.9,0.1
1227,25-26,1.0,5,18,23,16,19,0.22,1.21,0.26,0.875,1.0
1257,25-26,1.0,6,27,33,16,19,0.18,1.74,0.32,0.875,0.9
1287,25-26,1.0,6,37,43,16,19,0.14,2.26,0.32,0.875,0.8
1317,25-26,1.0,8,49,57,16,19,0.14,3.0,0.42,0.875,0.7
1347,25-26,1.0,9,67,76,16,19,0.12,4.0,0.47,0.875,0.6
1377,25-26,1.0,13,100,113,16,19,0.12,5.95,0.68,0.875,0.5
1407,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.875,0.4
1437,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.875,0.3
1467,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.875,0.2
1497,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.875,0.1
1527,25-26,1.0,5,18,23,16,19,0.22,1.21,0.26,0.85,1.0
1557,25-26,1.0,6,27,33,16,19,0.18,1.74,0.32,0.85,0.9
1587,25-26,1.0,6,37,43,16,19,0.14,2.26,0.32,0.85,0.8
1617,25-26,1.0,8,49,57,16,19,0.14,3.0,0.42,0.85,0.7
1647,25-26,1.0,9,67,76,16,19,0.12,4.0,0.47,0.85,0.6
1677,25-26,1.0,13,100,113,16,19,0.12,5.95,0.68,0.85,0.5
1707,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.85,0.4
1737,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.85,0.3
1767,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.85,0.2
1797,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74,0.85,0.1
1827,25-26,1.0,5,18,23,16,19,0.22,1.21,0.26,0.825,1.0
1857,25-26,1.0,6,27,33,16,19,0.18,1.74,0.32,0.825,0.9
1887,25-26,1.0,6,37,43,16,19,0.14,2.26,0.32,0.825,0.8
1917,25-26,1.0,8,49,57,16,19,0.14,3.0,0.42,0.825,0.7
