,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
10,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,1.0
40,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.9
70,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.8
100,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.7
130,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.6
160,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.5
190,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.4
220,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.3
250,22-23,0.1,14,52,66,19,20,0.21,3.3,0.7,0.975,0.2
280,22-23,0.1,14,55,69,19,20,0.2,3.45,0.7,0.975,0.1
310,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,1.0
340,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.9
370,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.8
400,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.7
430,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.6
460,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.5
490,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.4
520,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.3
550,22-23,0.1,17,53,70,19,20,0.24,3.5,0.85,0.95,0.2
580,22-23,0.1,17,56,73,19,20,0.23,3.65,0.85,0.95,0.1
610,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,1.0
640,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.9
670,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.8
700,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.7
730,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.6
760,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.5
790,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.4
820,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.3
850,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.925,0.2
880,22-23,0.1,19,57,76,19,20,0.25,3.8,0.95,0.925,0.1
910,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,1.0
940,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.9
970,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.8
1000,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.7
1030,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.6
1060,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.5
1090,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.4
1120,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.3
1150,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.9,0.2
1180,22-23,0.1,19,57,76,19,20,0.25,3.8,0.95,0.9,0.1
1210,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,1.0
1240,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.9
1270,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.8
1300,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.7
1330,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.6
1360,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.5
1390,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.4
1420,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.3
1450,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.875,0.2
1480,22-23,0.1,19,57,76,19,20,0.25,3.8,0.95,0.875,0.1
1510,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,1.0
1540,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.9
1570,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.8
1600,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.7
1630,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.6
1660,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.5
1690,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.4
1720,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.3
1750,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95,0.85,0.2
1780,22-23,0.1,19,57,76,19,20,0.25,3.8,0.95,0.85,0.1
1810,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,1.0
1840,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.9
1870,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.8
1900,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.7
1930,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.6
1960,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.5
1990,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.4
2020,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.3
2050,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.825,0.2
2080,22-23,0.1,19,57,76,19,20,0.25,3.8,0.95,0.825,0.1
2110,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.8,1.0
2140,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.8,0.9
2170,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.8,0.8
2200,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.8,0.7
2230,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.8,0.6
2260,22-23,0.1,19,55,74,19,20,0.26,3.7,0.95,0.8,0.5
