,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
22,24-25,1.0,11,0,11,20,20,1.0,0.55,0.55,0.975,1.0
52,24-25,1.0,12,3,15,20,20,0.8,0.75,0.6,0.975,0.9
82,24-25,1.0,13,6,19,20,20,0.68,0.95,0.65,0.975,0.8
112,24-25,1.0,14,6,20,20,20,0.7,1.0,0.7,0.975,0.7
142,24-25,1.0,17,10,27,20,20,0.63,1.35,0.85,0.975,0.6
172,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.975,0.5
202,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.975,0.4
232,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.975,0.3
262,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.975,0.2
292,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.975,0.1
322,24-25,1.0,11,0,11,20,20,1.0,0.55,0.55,0.95,1.0
352,24-25,1.0,12,3,15,20,20,0.8,0.75,0.6,0.95,0.9
382,24-25,1.0,13,6,19,20,20,0.68,0.95,0.65,0.95,0.8
412,24-25,1.0,14,6,20,20,20,0.7,1.0,0.7,0.95,0.7
442,24-25,1.0,17,10,27,20,20,0.63,1.35,0.85,0.95,0.6
472,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.95,0.5
502,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.95,0.4
532,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.95,0.3
562,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.95,0.2
592,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.95,0.1
622,24-25,1.0,12,0,12,20,20,1.0,0.6,0.6,0.925,1.0
652,24-25,1.0,13,3,16,20,20,0.81,0.8,0.65,0.925,0.9
682,24-25,1.0,14,6,20,20,20,0.7,1.0,0.7,0.925,0.8
712,24-25,1.0,15,6,21,20,20,0.71,1.05,0.75,0.925,0.7
742,24-25,1.0,18,10,28,20,20,0.64,1.4,0.9,0.925,0.6
772,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.925,0.5
802,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.925,0.4
832,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.925,0.3
862,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.925,0.2
892,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.925,0.1
922,24-25,1.0,12,0,12,20,20,1.0,0.6,0.6,0.9,1.0
952,24-25,1.0,13,3,16,20,20,0.81,0.8,0.65,0.9,0.9
982,24-25,1.0,14,6,20,20,20,0.7,1.0,0.7,0.9,0.8
1012,24-25,1.0,15,6,21,20,20,0.71,1.05,0.75,0.9,0.7
1042,24-25,1.0,18,10,28,20,20,0.64,1.4,0.9,0.9,0.6
1072,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.9,0.5
1102,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.9,0.4
1132,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.9,0.3
1162,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.9,0.2
1192,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.9,0.1
1222,24-25,1.0,13,0,13,20,20,1.0,0.65,0.65,0.875,1.0
1252,24-25,1.0,14,3,17,20,20,0.82,0.85,0.7,0.875,0.9
1282,24-25,1.0,15,6,21,20,20,0.71,1.05,0.75,0.875,0.8
1312,24-25,1.0,16,6,22,20,20,0.73,1.1,0.8,0.875,0.7
1342,24-25,1.0,18,10,28,20,20,0.64,1.4,0.9,0.875,0.6
1372,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.875,0.5
1402,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.875,0.4
1432,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.875,0.3
1462,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.875,0.2
1492,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.875,0.1
1522,24-25,1.0,15,1,16,20,20,0.94,0.8,0.75,0.85,1.0
1552,24-25,1.0,16,4,20,20,20,0.8,1.0,0.8,0.85,0.9
1582,24-25,1.0,16,7,23,20,20,0.7,1.15,0.8,0.85,0.8
1612,24-25,1.0,17,7,24,20,20,0.71,1.2,0.85,0.85,0.7
1642,24-25,1.0,19,11,30,20,20,0.63,1.5,0.95,0.85,0.6
1672,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.85,0.5
1702,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.85,0.4
1732,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.85,0.3
1762,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.85,0.2
1792,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.85,0.1
1822,24-25,1.0,15,1,16,20,20,0.94,0.8,0.75,0.825,1.0
1852,24-25,1.0,16,4,20,20,20,0.8,1.0,0.8,0.825,0.9
1882,24-25,1.0,16,7,23,20,20,0.7,1.15,0.8,0.825,0.8
1912,24-25,1.0,17,7,24,20,20,0.71,1.2,0.85,0.825,0.7
1942,24-25,1.0,19,11,30,20,20,0.63,1.5,0.95,0.825,0.6
1972,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.825,0.5
2002,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.825,0.4
2032,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.825,0.3
2062,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.825,0.2
2092,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.825,0.1
2122,24-25,1.0,15,1,16,20,20,0.94,0.8,0.75,0.8,1.0
2152,24-25,1.0,16,4,20,20,20,0.8,1.0,0.8,0.8,0.9
2182,24-25,1.0,16,7,23,20,20,0.7,1.15,0.8,0.8,0.8
2212,24-25,1.0,17,7,24,20,20,0.71,1.2,0.85,0.8,0.7
2242,24-25,1.0,19,11,30,20,20,0.63,1.5,0.95,0.8,0.6
2272,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.8,0.5
2302,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.8,0.4
2332,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.8,0.3
2362,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.8,0.2
2392,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.8,0.1
2422,24-25,1.0,16,1,17,20,20,0.94,0.85,0.8,0.775,1.0
2452,24-25,1.0,17,4,21,20,20,0.81,1.05,0.85,0.775,0.9
2482,24-25,1.0,17,7,24,20,20,0.71,1.2,0.85,0.775,0.8
2512,24-25,1.0,18,7,25,20,20,0.72,1.25,0.9,0.775,0.7
2542,24-25,1.0,19,11,30,20,20,0.63,1.5,0.95,0.775,0.6
2572,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.775,0.5
2602,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.775,0.4
2632,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.775,0.3
2662,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.775,0.2
2692,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.775,0.1
2722,24-25,1.0,16,1,17,20,20,0.94,0.85,0.8,0.75,1.0
2752,24-25,1.0,17,4,21,20,20,0.81,1.05,0.85,0.75,0.9
2782,24-25,1.0,17,7,24,20,20,0.71,1.2,0.85,0.75,0.8
2812,24-25,1.0,18,7,25,20,20,0.72,1.25,0.9,0.75,0.7
2842,24-25,1.0,19,11,30,20,20,0.63,1.5,0.95,0.75,0.6
2872,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.5
2902,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.4
2932,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.3
2962,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.2
2992,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.1
3002,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.3
3032,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.2
3062,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0,0.75,0.1
