,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
1,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,1.0
31,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.9
61,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.8
91,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.7
121,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.6
151,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.5
181,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.4
211,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.3
241,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.2
271,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.975,0.1
301,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,1.0
331,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.9
361,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.8
391,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.7
421,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.6
451,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.5
481,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.4
511,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.3
541,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.2
571,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.95,0.1
601,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,1.0
631,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.9
661,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.8
691,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.7
721,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.6
751,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.5
781,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.4
811,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.3
841,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0,0.925,0.2
