,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
20,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,1.0
50,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.9
80,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.8
110,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.7
140,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.6
170,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.5
200,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.4
230,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.3
260,24-25,0.1,2,2,4,22,23,0.5,0.17,0.09,0.975,0.2
290,24-25,0.1,13,134,147,22,23,0.09,6.39,0.57,0.975,0.1
320,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,1.0
350,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.9
380,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.8
410,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.7
440,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.6
470,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.5
500,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.4
530,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.3
560,24-25,0.1,6,11,17,22,23,0.35,0.74,0.26,0.95,0.2
590,24-25,0.1,16,142,158,22,23,0.1,6.87,0.7,0.95,0.1
620,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,1.0
650,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.9
680,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.8
710,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.7
740,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.6
770,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.5
800,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.4
830,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.3
860,24-25,0.1,8,29,37,22,23,0.22,1.61,0.35,0.925,0.2
890,24-25,0.1,17,157,174,22,23,0.1,7.57,0.74,0.925,0.1
920,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,1.0
950,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.9
980,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.8
1010,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.7
1040,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.6
1070,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.5
1100,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.4
1130,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.3
1160,24-25,0.1,14,38,52,22,23,0.27,2.26,0.61,0.9,0.2
1190,24-25,0.1,19,163,182,22,23,0.1,7.91,0.83,0.9,0.1
1220,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,1.0
1250,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.9
1280,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.8
1310,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.7
1340,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.6
1370,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.5
1400,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.4
1430,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.3
1460,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65,0.875,0.2
1490,24-25,0.1,19,168,187,22,23,0.1,8.13,0.83,0.875,0.1
1520,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,1.0
1550,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.9
1580,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.8
1610,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.7
1640,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.6
1670,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.5
1700,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.4
1730,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.3
1760,24-25,0.1,17,48,65,22,23,0.26,2.83,0.74,0.85,0.2
1790,24-25,0.1,20,171,191,22,23,0.1,8.3,0.87,0.85,0.1
1820,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,1.0
1850,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.9
1880,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.8
1910,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.7
1940,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.6
1970,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.5
2000,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.4
2030,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.3
2060,24-25,0.1,17,51,68,22,23,0.25,2.96,0.74,0.825,0.2
2090,24-25,0.1,20,174,194,22,23,0.1,8.43,0.87,0.825,0.1
2120,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,1.0
2150,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.9
2180,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.8
2210,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.7
2240,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.6
2270,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.5
2300,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.4
2330,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.3
2360,24-25,0.1,20,52,72,22,23,0.28,3.13,0.87,0.8,0.2
2390,24-25,0.1,21,174,195,22,23,0.11,8.48,0.91,0.8,0.1
2420,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,1.0
2450,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.9
2480,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.8
2510,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.7
2540,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.6
2570,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.5
2600,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.4
2630,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.3
2660,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.775,0.2
2690,24-25,0.1,21,174,195,22,23,0.11,8.48,0.91,0.775,0.1
2720,24-25,0.1,20,53,73,22,23,0.27,3.17,0.87,0.75,1.0
