,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
8,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,1.0
38,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.9
68,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.8
98,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.7
128,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.6
158,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.5
188,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.4
218,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.3
248,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.2
278,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.975,0.1
308,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,1.0
338,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.9
368,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.8
398,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.7
428,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.6
458,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.5
488,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.4
518,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.3
548,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.2
578,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.95,0.1
608,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.925,1.0
638,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.925,0.9
668,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.925,0.8
698,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.925,0.7
728,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.925,0.6
758,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.925,0.5
788,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94,0.925,0.4
