,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,20-21,0.1,23,19,42,24,24,0.55,1.75,0.96
1,20-21,0.3,23,0,23,23,23,1,1,1
2,20-21,1,20,0,20,20,20,1,1,1
3,20-21,3,17,0,17,17,17,1,1,1
4,20-21,10,11,0,11,11,11,1,1,1
