,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
5,21-22,0.1,25,38,63,25,25,0.4,2.52,1
6,21-22,0.3,29,5,34,30,33,0.85,1.03,0.88
7,21-22,1,21,0,21,21,22,1,0.95,0.95
8,21-22,3,17,2,19,18,18,0.89,1.06,0.94
9,21-22,10,14,1,15,15,19,0.93,0.79,0.74
