,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,25-26,0.1,9,1,10,27,35,0.9,0.29,0.26
1,25-26,0.3,13,0,13,23,27,1,0.48,0.48
2,25-26,1,9,67,76,16,19,0.12,4,0.47
3,25-26,3,20,5,25,21,32,0.8,0.78,0.62
4,25-26,10,0,0,0,2,18,0,0,
