,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
21,24-25,0.3,0,1,1,19,20,0.0,0.05,0.0,0.975,1.0
51,24-25,0.3,0,1,1,19,20,0.0,0.05,0.0,0.975,0.9
81,24-25,0.3,0,1,1,19,20,0.0,0.05,0.0,0.975,0.8
111,24-25,0.3,0,1,1,19,20,0.0,0.05,0.0,0.975,0.7
141,24-25,0.3,0,1,1,19,20,0.0,0.05,0.0,0.975,0.6
171,24-25,0.3,0,1,1,19,20,0.0,0.05,0.0,0.975,0.5
201,24-25,0.3,4,17,21,19,20,0.19,1.05,0.2,0.975,0.4
231,24-25,0.3,7,44,51,19,20,0.14,2.55,0.35,0.975,0.3
261,24-25,0.3,16,121,137,19,20,0.12,6.85,0.8,0.975,0.2
291,24-25,0.3,18,205,223,19,20,0.08,11.15,0.9,0.975,0.1
321,24-25,0.3,2,1,3,19,20,0.67,0.15,0.1,0.95,1.0
351,24-25,0.3,2,1,3,19,20,0.67,0.15,0.1,0.95,0.9
381,24-25,0.3,2,1,3,19,20,0.67,0.15,0.1,0.95,0.8
411,24-25,0.3,2,1,3,19,20,0.67,0.15,0.1,0.95,0.7
441,24-25,0.3,2,1,3,19,20,0.67,0.15,0.1,0.95,0.6
471,24-25,0.3,2,1,3,19,20,0.67,0.15,0.1,0.95,0.5
501,24-25,0.3,2,1,3,19,20,0.67,0.15,0.1,0.95,0.4
531,24-25,0.3,9,44,53,19,20,0.17,2.65,0.45,0.95,0.3
561,24-25,0.3,17,121,138,19,20,0.12,6.9,0.85,0.95,0.2
591,24-25,0.3,18,205,223,19,20,0.08,11.15,0.9,0.95,0.1
621,24-25,0.3,5,2,7,19,20,0.71,0.35,0.25,0.925,1.0
651,24-25,0.3,5,2,7,19,20,0.71,0.35,0.25,0.925,0.9
681,24-25,0.3,5,2,7,19,20,0.71,0.35,0.25,0.925,0.8
711,24-25,0.3,5,2,7,19,20,0.71,0.35,0.25,0.925,0.7
741,24-25,0.3,5,2,7,19,20,0.71,0.35,0.25,0.925,0.6
771,24-25,0.3,5,2,7,19,20,0.71,0.35,0.25,0.925,0.5
801,24-25,0.3,8,18,26,19,20,0.31,1.3,0.4,0.925,0.4
831,24-25,0.3,9,45,54,19,20,0.17,2.7,0.45,0.925,0.3
861,24-25,0.3,17,122,139,19,20,0.12,6.95,0.85,0.925,0.2
891,24-25,0.3,18,205,223,19,20,0.08,11.15,0.9,0.925,0.1
921,24-25,0.3,7,4,11,19,20,0.64,0.55,0.35,0.9,1.0
951,24-25,0.3,7,4,11,19,20,0.64,0.55,0.35,0.9,0.9
981,24-25,0.3,7,4,11,19,20,0.64,0.55,0.35,0.9,0.8
1011,24-25,0.3,7,4,11,19,20,0.64,0.55,0.35,0.9,0.7
1041,24-25,0.3,7,4,11,19,20,0.64,0.55,0.35,0.9,0.6
1071,24-25,0.3,7,4,11,19,20,0.64,0.55,0.35,0.9,0.5
1101,24-25,0.3,10,19,29,19,20,0.34,1.45,0.5,0.9,0.4
1131,24-25,0.3,10,46,56,19,20,0.18,2.8,0.5,0.9,0.3
1161,24-25,0.3,18,122,140,19,20,0.13,7.0,0.9,0.9,0.2
1191,24-25,0.3,18,205,223,19,20,0.08,11.15,0.9,0.9,0.1
1221,24-25,0.3,8,4,12,19,20,0.67,0.6,0.4,0.875,1.0
1251,24-25,0.3,8,4,12,19,20,0.67,0.6,0.4,0.875,0.9
1281,24-25,0.3,8,4,12,19,20,0.67,0.6,0.4,0.875,0.8
1311,24-25,0.3,8,4,12,19,20,0.67,0.6,0.4,0.875,0.7
1341,24-25,0.3,8,4,12,19,20,0.67,0.6,0.4,0.875,0.6
1371,24-25,0.3,8,4,12,19,20,0.67,0.6,0.4,0.875,0.5
1401,24-25,0.3,11,19,30,19,20,0.37,1.5,0.55,0.875,0.4
1431,24-25,0.3,11,46,57,19,20,0.19,2.85,0.55,0.875,0.3
1461,24-25,0.3,18,122,140,19,20,0.13,7.0,0.9,0.875,0.2
1491,24-25,0.3,18,205,223,19,20,0.08,11.15,0.9,0.875,0.1
1521,24-25,0.3,13,4,17,19,20,0.76,0.85,0.65,0.85,1.0
1551,24-25,0.3,13,4,17,19,20,0.76,0.85,0.65,0.85,0.9
1581,24-25,0.3,13,4,17,19,20,0.76,0.85,0.65,0.85,0.8
1611,24-25,0.3,13,4,17,19,20,0.76,0.85,0.65,0.85,0.7
1641,24-25,0.3,13,4,17,19,20,0.76,0.85,0.65,0.85,0.6
