,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
12,22-23,1.0,15,0,15,20,21,1.0,0.71,0.71,0.975,1.0
42,22-23,1.0,17,0,17,20,21,1.0,0.81,0.81,0.975,0.9
72,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.975,0.8
102,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.975,0.7
132,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.975,0.6
162,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.975,0.5
192,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.975,0.4
222,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.975,0.3
252,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.975,0.2
282,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.975,0.1
312,22-23,1.0,18,0,18,20,21,1.0,0.86,0.86,0.95,1.0
342,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.95,0.9
372,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.95,0.8
402,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.95,0.7
432,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.95,0.6
462,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.95,0.5
492,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.95,0.4
522,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.95,0.3
552,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.95,0.2
582,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.95,0.1
612,22-23,1.0,19,0,19,20,21,1.0,0.9,0.9,0.925,1.0
642,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.925,0.9
672,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.925,0.8
702,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.925,0.7
732,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.925,0.6
762,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95,0.925,0.5
