,0.0,0.001,0.003,0.01,0.03,0.1,0.3,1.0,3.0,10.0,30.0
0,1.0896501541099999,,1.16656160355,1.2090623378799998,1.20074510574,1.1684188842799998,1.21515488625,1.21444642544,1.6358919143700001,1.9464261531799998,
1,1.13523602486,,1.12195324898,1.27999961376,1.5366303920700002,1.27908551693,1.2493804693200001,1.14809727669,1.6821218728999998,2.7778165340400003,
2,1.19370365143,,1.27948403358,1.14333581924,1.2397954464,1.15553915501,1.24280798435,1.1686967611299999,1.61065387726,,
3,2.41475200653,,1.1351685524,1.23470759392,1.1417300701100002,1.13954389095,1.1705244779600001,1.2109823226899998,1.70392644405,,
4,1.28715717793,,1.23771357536,1.4763199090999999,1.25468528271,1.09317398071,1.10721313953,1.28944933414,1.66098332405,,
5,,,1.25949287415,1.12364768982,1.13085126877,1.16226625443,1.22253811359,1.30997419357,1.5948765277899999,,
6,,,1.23419606686,1.17464792728,1.2546057701100002,1.14744985104,1.2799755334899998,1.24368369579,1.53523886204,,
7,,,,1.27178525925,1.2050534486799998,1.2644672393799998,1.2991124391600002,1.23186397552,1.71006655693,,
8,,,,1.27774059772,1.23766708374,1.2579789161700001,1.26297295094,1.23508441448,1.65470695496,,
9,,,,1.2014210224200002,1.22464931011,1.26868438721,1.4972276687600001,1.25392150879,1.57356071472,,
10,,,,1.2336943149600001,1.06800436974,1.2832903862,1.14075732231,1.19604897499,1.64911997318,,
11,,,,1.1869337558700002,1.19143378735,1.19048666954,1.03436040878,1.24362516403,1.54997241497,,
12,,,,1.2229696512200001,1.26088190079,1.20386075974,1.35364937782,1.22362554073,1.63173675537,,
13,,,,1.18096601963,1.19602549076,1.24895465374,1.2633818388,1.3495312929199998,4.0121846199,,
14,,,,1.20892524719,1.1120164394399998,1.29387128353,1.16738533974,1.2496073246,,,
15,,,,1.20314443111,1.1556265354200002,1.20233273506,1.8438899517099998,1.1978800296799998,,,
16,,,,1.2042605876899999,1.17301952839,1.19487321377,1.16890788078,1.2796574831,,,
17,,,,1.21667206287,1.1256891489,1.24416649342,,1.2494841814,,,
18,,,,1.40587949753,1.16184997559,1.3669626712799998,,1.25808084011,,,
19,,,,1.18802142143,1.2111017704,2.0942664146400003,,1.17769241333,,,
20,,,,1.22235023975,1.21535587311,1.37552785873,,1.27808225155,,,
21,,,,1.2136787176100001,1.0942698717100001,1.14506971836,,,,,
22,,,,1.0989528894399998,1.09320890903,1.15766823292,,,,,
23,,,,1.20747315884,1.14175820351,,,,,,
24,,,,1.22856855392,1.57473921776,,,,,,
25,,,,1.2675216198,1.27376353741,,,,,,
26,,,,1.21531939507,1.20739519596,,,,,,
27,,,,1.16098070145,1.10890245438,,,,,,
28,,,,1.1900106668500001,1.4397920370100001,,,,,,
29,,,,1.20677518845,1.28544688225,,,,,,
30,,,,1.11639380455,,,,,,,
31,m 1.42409980297,m nan,m 1.20493856498,m 1.21845676437,m 1.21722314358,m 1.25817126813,m 1.26583763431,m 1.2385483526,m 1.80036005804,m 2.36212134361,m nan
