,IDX,SOURCE,DITHER,RA,DEC,VEL,ABMAG,THETA,MAG_AUTO,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,MAGERR_AUTO,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,CLASS_STAR
1,2784,696,1,7.89935235718,-21.3981930586,0.0100607526402,22.7761474262,339.690437121,23.1340007782,1.48247730732,1.2752456665,-83.7480239868,0.0340341441333,0.0270535182208,0.0209191292524,9.34467720981E-07,7.57165992127E-07,-70.5973892212,0.974248170853
2,2785,696,2,7.89935015521,-21.3981896167,0.0100607526402,22.7761474262,339.690437121,23.1207542419,1.49004387856,1.27345383167,86.0275802612,0.0341081693769,0.0271267741919,0.0209220703691,9.47720479871E-07,7.45154750348E-07,-59.2211990356,0.960977673531
3,2786,696,3,7.89934923703,-21.3981940587,0.0100607526402,22.7761474262,339.690437121,23.1287345886,1.45274853706,1.29194414616,-86.35887146,0.033039547503,0.028039380908,0.0224482584745,9.11205404464E-07,7.78943558544E-07,-68.053276062,0.966372609138
4,2787,696,4,7.89935165268,-21.3981944943,0.0100607526402,22.7761474262,339.690437121,23.1485977173,1.44638264179,1.29279637337,-88.7161865234,0.0321083888412,0.0276320204139,0.0202877353877,8.88243391728E-07,7.64391529628E-07,-64.7962188721,0.917980194092
5,3461,865,2,7.96544482907,-21.2357890004,0.0102947918811,25.1238736322,29.8452657966,25.4614391327,0.939300298691,0.822985470295,-12.46600914,0.11241209507,0.0976137593389,0.156294047832,3.1154777389E-06,2.69369161288E-06,38.0573806763,0.942770898342
6,3462,865,3,7.965443271,-21.23578771,0.0102947918811,25.1238736322,29.8452657966,24.7766571045,1.09150624275,0.900420486927,-89.9809417725,0.118444502354,0.0987159460783,0.121373355389,3.28593409904E-06,2.71959675047E-06,-61.0346794128,0.67972433567
7,3463,865,4,7.96544829782,-21.2357861357,0.0102947918811,25.1238736322,29.8452657966,25.0331192017,0.865029811859,0.831448793411,29.6378765106,0.100835777819,0.0969768986106,0.131895035505,2.77555773209E-06,2.69714519163E-06,-28.2943916321,0.963946342468
8,3213,803,2,8.15628015203,-21.4740270413,0.0103615163695,25.6119274664,206.837721898,25.4152297974,0.99998652935,0.66150200367,-63.8743667603,0.156444013119,0.0961900502443,0.169017165899,4.11458768212E-06,2.98014720101E-06,88.0510406494,0.919632613659
9,3214,803,3,8.15626504911,-21.4740244163,0.0103615163695,25.6119274664,206.837721898,25.57330513,1.0182107687,0.738978803158,75.6962814331,0.157575383782,0.111240066588,0.19568054378,4.38570032202E-06,3.03935348711E-06,-54.8579711914,0.0199727602303
10,3215,803,4,8.15627109193,-21.474024746,0.0103615163695,25.6119274664,206.837721898,25.3954105377,0.803843796253,0.672089457512,-44.8363838196,0.13687735796,0.108161278069,0.164972111583,3.69235976905E-06,3.10763402922E-06,61.2034263611,0.926313817501
11,52,13,1,8.14612293082,-21.271380282,0.0104815102793,25.1164132467,308.541939331,25.1537628174,1.0616465807,0.974810838699,-63.4491577148,0.113751865923,0.105223849416,0.144185990095,3.1097279134E-06,2.95044605991E-06,84.1898040771,0.413151800632
12,54,13,3,8.14612306222,-21.2713811192,0.0104815102793,25.1164132467,308.541939331,24.8815174103,0.953040778637,0.849837899208,-42.994884491,0.10762757808,0.0912585258484,0.134713023901,2.92578260996E-06,2.58418708654E-06,59.3634147644,0.789728105068
