,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
36,1,7.73407229512,-21.40309932,26-27,1.0,0.598929405212,galaxies
41,1,8.22530143519,-21.1787139238,25-26,1.0,0.0357769243419,galaxies
57,1,8.58720224132,-21.5637695316,25-26,1.0,0.37270796299,galaxies
60,1,8.21322590268,-21.4441976313,25-26,1.0,0.757914423943,galaxies
109,1,8.07874545189,-21.5679506649,26-27,1.0,0.000859715044498,SSO
313,2,7.73399489364,-21.4030827932,26-27,1.0,0.598929405212,galaxies
318,2,8.22543795292,-21.1788117491,25-26,1.0,0.0357769243419,galaxies
334,2,8.21323628816,-21.4442867927,25-26,1.0,0.757914423943,galaxies
347,2,7.81787585168,-21.3691946981,26-27,1.0,0.0839977711439,SSO
357,2,8.00137470449,-21.2165412662,27-28,1.0,0.68605196476,galaxies
375,2,8.24253712022,-21.118313754,25-26,1.0,0.000167161691934,galaxies
616,3,8.22535545038,-21.1788640776,25-26,1.0,0.0357769243419,galaxies
635,3,8.5870108647,-21.5638261399,25-26,1.0,0.37270796299,galaxies
649,3,7.81778030082,-21.3692260053,26-27,1.0,0.0839977711439,SSO
658,3,8.00132162297,-21.216515928,27-28,1.0,0.68605196476,galaxies
679,3,8.24252738345,-21.1183151378,25-26,1.0,0.000167161691934,galaxies
686,3,8.07811281542,-21.5676080044,26-27,1.0,0.000859715044498,galaxies
907,4,7.73379783977,-21.4029700866,26-27,1.0,0.598929405212,galaxies
925,4,8.58688849143,-21.5637890085,25-26,1.0,0.37270796299,galaxies
929,4,8.21309167512,-21.4444607286,25-26,1.0,0.757914423943,galaxies
943,4,7.81764997919,-21.3692521415,26-27,1.0,0.0839977711439,galaxies
954,4,8.0012298833,-21.2164220299,27-28,1.0,0.68605196476,galaxies
975,4,8.2426383662,-21.1183183763,25-26,1.0,0.000167161691934,galaxies
984,4,8.07804864142,-21.5675482948,26-27,1.0,0.000859715044498,galaxies
