,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
20,1,7.86208879972,-21.5046597698,19-20,0.01,0.985717952251,star
22,1,8.00783690444,-21.2614396324,19-20,0.01,0.967198550701,galaxies
47,1,8.27254408179,-21.5042365625,22-23,0.01,0.999917447567,star
51,1,8.40622872774,-21.4438237472,20-21,0.01,0.98317193985,star
67,1,7.83581304233,-21.3714611744,21-22,0.01,0.985634148121,star
70,1,8.49884727102,-21.362999049,18-19,0.01,0.993944108486,star
73,1,8.29940893166,-21.4802635988,18-19,0.01,0.998292863369,star
76,1,8.0270067793,-21.5768347107,20-21,0.01,0.983424007893,star
83,1,7.76366101641,-21.2897575376,23-24,0.01,0.971336007118,galaxies
99,1,7.84519451368,-21.214841335,22-23,0.01,0.989361405373,star
126,1,8.17068639072,-21.669332311,20-21,0.01,0.984321892262,star
158,1,8.42355922273,-21.4826271721,21-22,0.01,0.984046280384,star
199,1,8.15433377423,-21.5177754557,18-19,0.01,0.985456943512,star
209,1,8.04736332138,-21.1609336087,23-24,0.01,0.995993554592,star
213,1,7.84614834233,-21.1932746306,22-23,0.01,0.988683342934,star
229,1,8.22562686071,-21.5694847032,18-19,0.01,0.995645821095,star
237,1,8.22864247984,-21.6430451031,21-22,0.01,0.999830424786,star
241,1,8.32484900843,-21.3275930299,19-20,0.01,0.985812723637,star
244,1,8.33034895299,-21.0446147048,21-22,0.01,0.986377894878,star
255,1,8.53038079074,-21.4645831906,19-20,0.01,0.982519328594,star
298,2,7.86209248732,-21.5046602308,19-20,0.01,0.985717952251,star
300,2,8.00783513111,-21.2614432346,19-20,0.01,0.967198550701,galaxies
343,2,7.83581165628,-21.3714593792,21-22,0.01,0.985634148121,star
351,2,8.4988462263,-21.3630001526,18-19,0.01,0.993944108486,star
356,2,8.02700733028,-21.5768339973,20-21,0.01,0.983424007893,star
377,2,7.84519567923,-21.214841684,22-23,0.01,0.989361405373,star
398,2,8.17068740245,-21.6693328854,20-21,0.01,0.984321892262,star
427,2,7.92914117386,-21.0850656129,22-23,0.01,0.987388849258,star
430,2,8.41317590714,-21.4689110742,19-20,0.01,0.986467838287,star
440,2,8.42355880878,-21.482626081,21-22,0.01,0.984046280384,star
484,2,8.1543351676,-21.5177779798,18-19,0.01,0.985456943512,star
501,2,7.84614779976,-21.1932804881,22-23,0.01,0.988683342934,star
517,2,8.22562802228,-21.5694893911,18-19,0.01,0.995645821095,star
524,2,8.22863648297,-21.6430438359,21-22,0.01,0.999830424786,star
545,2,8.53038135548,-21.4645838347,19-20,0.01,0.982519328594,star
595,3,8.00783452107,-21.2614441812,19-20,0.01,0.967198550701,galaxies
623,3,8.27254457843,-21.5042318944,22-23,0.01,0.999917447567,star
629,3,8.40623298448,-21.443825086,20-21,0.01,0.98317193985,star
655,3,8.29940886476,-21.480264976,18-19,0.01,0.998292863369,star
665,3,7.76366186587,-21.2897554893,23-24,0.01,0.971336007118,galaxies
729,3,7.92914026901,-21.0850647829,22-23,0.01,0.987388849258,star
733,3,8.41317638966,-21.468910417,19-20,0.01,0.986467838287,star
741,3,8.4235590825,-21.4826252529,21-22,0.01,0.984046280384,star
802,3,8.04736450481,-21.1609318333,23-24,0.01,0.995993554592,star
807,3,7.84614763646,-21.1932762056,22-23,0.01,0.988683342934,star
819,3,8.22562907018,-21.5694892766,18-19,0.01,0.995645821095,star
836,3,8.32484980141,-21.3275946812,19-20,0.01,0.985812723637,star
837,3,8.33034692719,-21.0446225079,21-22,0.01,0.986377894878,star
851,3,8.5303829901,-21.4645842763,19-20,0.01,0.982519328594,star
891,4,7.86208988815,-21.5046626884,19-20,0.01,0.985717952251,star
915,4,8.27254373269,-21.5042317485,22-23,0.01,0.999917447567,star
919,4,8.40623386515,-21.4438256101,20-21,0.01,0.98317193985,star
939,4,7.8358136301,-21.371458103,21-22,0.01,0.985634148121,star
947,4,8.49884495469,-21.3629987019,18-19,0.01,0.993944108486,star
950,4,8.29940948917,-21.4802660511,18-19,0.01,0.998292863369,star
953,4,8.02701044291,-21.5768396527,20-21,0.01,0.983424007893,star
963,4,7.76366202774,-21.2897609891,23-24,0.01,0.971336007118,galaxies
977,4,7.84519122693,-21.214845123,22-23,0.01,0.989361405373,star
994,4,8.17068940095,-21.6693252151,20-21,0.01,0.984321892262,star
1015,4,7.92914030533,-21.0850640941,22-23,0.01,0.987388849258,star
1019,4,8.41317648603,-21.4689094377,19-20,0.01,0.986467838287,star
1029,4,8.42356014644,-21.4826241442,21-22,0.01,0.984046280384,star
1069,4,8.15433618626,-21.5177761238,18-19,0.01,0.985456943512,star
1084,4,8.04735847046,-21.1609295875,23-24,0.01,0.995993554592,star
1107,4,8.22864360982,-21.6430419895,21-22,0.01,0.999830424786,star
1113,4,8.3248502672,-21.3275867612,19-20,0.01,0.985812723637,star
1116,4,8.33034557945,-21.0446136969,21-22,0.01,0.986377894878,star
