,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
0,1,8.24616489705,-21.5363630058,21-22,0.1,0.983323156834,star
1,1,8.33446937419,-21.5354125785,22-23,0.1,0.989702999592,star
2,1,8.31181477233,-21.5349828766,22-23,0.1,0.998821914196,star
10,1,8.45001399482,-21.4482232572,20-21,0.1,0.98439848423,star
12,1,8.29566924288,-21.2680775398,21-22,0.1,0.986272633076,star
14,1,8.30541699924,-21.2651153651,24-25,0.1,0.993688583374,star
15,1,7.99962547653,-21.0901282252,23-24,0.1,0.99207264185,star
16,1,8.27100432975,-21.2649462145,22-23,0.1,0.969057440758,galaxies
23,1,8.12646953182,-21.7164865996,23-24,0.1,0.976971268654,star
25,1,8.48335159011,-21.4298092923,21-22,0.1,0.983775019646,star
26,1,8.48624187407,-21.5517824775,23-24,0.1,0.987773895264,star
31,1,8.2726470557,-21.36165817,22-23,0.1,0.999890446663,star
34,1,8.00202913246,-21.33575774,24-25,0.1,0.92470484972,star
37,1,8.17896411657,-21.1863557386,23-24,0.1,0.954726696014,star
44,1,8.13891865989,-21.7007867635,22-23,0.1,0.946474432945,star
45,1,7.78986080502,-21.3411675957,21-22,0.1,0.986432909966,star
55,1,8.28289635332,-21.4985930314,22-23,0.1,0.987659335136,star
58,1,8.4482882066,-21.4490775002,24-25,0.1,0.860576152802,star
65,1,8.08712436223,-21.3003695091,23-24,0.1,0.985608696938,star
78,1,8.10221719445,-21.7233653539,22-23,0.1,0.99962580204,star
89,1,8.44020858348,-21.3621399316,18-19,0.1,0.982897400856,star
97,1,8.49018609718,-21.3388986754,19-20,0.1,0.999466598034,star
102,1,7.90272908937,-21.4543125573,21-22,0.1,0.999908804893,star
110,1,8.12165843857,-21.6382364586,19-20,0.1,0.999661445618,star
120,1,8.10978828499,-21.7178857734,23-24,0.1,0.971726775169,star
128,1,7.82076535134,-21.3488129871,19-20,0.1,0.98433303833,star
129,1,8.1258685171,-21.3586806282,21-22,0.1,0.999859571457,star
141,1,8.06571537154,-21.3482291353,22-23,0.1,0.980028986931,star
143,1,8.39965928856,-21.6770746749,20-21,0.1,0.983786463737,star
145,1,8.09337140314,-21.3052447325,22-23,0.1,0.997125208378,star
150,1,8.11809680089,-21.3342106144,21-22,0.1,0.999916136265,star
154,1,8.31382934701,-21.252813303,23-24,0.1,0.963430464268,star
156,1,8.46569189803,-21.4986268362,23-24,0.1,0.987660586834,star
162,1,8.38098310169,-21.6661333904,21-22,0.1,0.986252903938,star
168,1,8.07036108053,-21.2299855641,22-23,0.1,0.988762974739,star
172,1,7.7917817383,-21.2090808534,22-23,0.1,0.985638618469,star
186,1,8.29662631949,-21.1415535473,23-24,0.1,0.967266440392,star
190,1,8.09827365149,-21.268461635,23-24,0.1,0.907714426517,star
191,1,8.30255991084,-21.1255460065,24-25,0.1,0.988745570183,star
202,1,7.81090079508,-21.2547842192,23-24,0.1,0.982374668121,star
205,1,8.4898916592,-21.6428865706,21-22,0.1,0.986181974411,star
207,1,8.15250731091,-21.4617973102,20-21,0.1,0.984369039536,star
208,1,8.18289860629,-21.4926951909,22-23,0.1,0.999919891357,star
212,1,7.85580921097,-21.5478416171,19-20,0.1,0.999842941761,star
214,1,7.96353680759,-21.3312399621,24-25,0.1,0.965933978558,star
216,1,8.0187209455,-21.7637928114,23-24,0.1,0.995568215847,star
224,1,8.23005600344,-21.5735449082,22-23,0.1,0.999921798706,star
227,1,8.03033646893,-21.6951278829,21-22,0.1,0.983314216137,star
228,1,8.29674269472,-21.3574306222,21-22,0.1,0.984049260616,star
231,1,8.03823230925,-21.6799473914,20-21,0.1,0.985163450241,star
232,1,8.14411436388,-21.6989711541,22-23,0.1,0.988747417927,star
234,1,8.10651243714,-21.785474841,21-22,0.1,0.985115528107,star
236,1,8.10387157898,-21.7823452931,23-24,0.1,0.976820528507,star
240,1,8.10767441624,-21.6449595331,22-23,0.1,0.988995373249,star
242,1,8.24543205702,-21.3275463513,22-23,0.1,0.990279495716,star
245,1,8.31325531783,-21.2630791874,22-23,0.1,0.999927937984,star
246,1,7.78309102748,-21.5019821088,21-22,0.1,0.983425617218,star
251,1,7.77463468793,-21.5000443784,20-21,0.1,0.983207702637,star
253,1,8.24868548471,-21.3138781662,20-21,0.1,0.982943415642,star
254,1,8.10203763794,-21.3661325443,24-25,0.1,0.935376822948,star
256,1,8.10215979581,-21.3641252678,21-22,0.1,0.982763290405,star
262,1,8.44242390285,-21.4473856937,21-22,0.1,0.999876439571,star
267,1,8.00554036696,-21.3933471321,23-24,0.1,0.904736697674,star
268,1,8.05242634329,-21.5299669543,21-22,0.1,0.985401451588,star
