,0.0,0.001,0.003,0.01,0.03,0.1,0.3,1.0,3.0,10.0,30.0
0,20.7659492493,,20.768606185899998,20.5742492676,20.0455379486,20.7746925354,20.7767219543,,,,
1,20.3365249634,,20.031085968,20.870721817,20.3207759857,20.1862373352,20.9116764069,,,,
2,20.3343582153,,20.1677856445,20.281360626199998,20.778629303,21.0349063873,20.097366333,,,,
3,20.2360477448,,,20.1783275604,20.0946311951,20.141551971400002,21.0509471893,,,,
4,20.779933929400002,,,20.2533092499,20.7520179749,20.5165424347,20.858839035,,,,
5,20.933076858499998,,,20.8404521942,20.86810112,20.8822650909,20.8526878357,,,,
6,20.9266242981,,,20.4822368622,20.6909885406,20.7589092255,20.3471488953,,,,
7,21.0086097717,,,20.677324295,20.1837997437,20.741317749,20.5734195709,,,,
8,20.6449813843,,,20.5256023407,20.3162479401,20.5293674469,20.3326206207,,,,
9,20.5353507996,,,20.8730278015,20.6301174164,20.8120956421,20.0405845642,,,,
10,20.892370224,,,20.409828186,20.5504455566,20.386047363299998,20.578483581500002,,,,
11,20.425441741900002,,,20.9895572662,20.3874416351,20.3673534393,20.7697219849,,,,
12,20.2838020325,,,20.5592498779,20.8383369446,20.6042537689,20.9781665802,,,,
13,20.7915267944,,,20.919067382799998,20.1032714844,21.0214653015,,,,,
14,20.7307071686,,,20.1539535522,20.143505096400002,20.8401184082,,,,,
15,20.188781738299998,,,20.8994865417,20.9334506989,20.9643783569,,,,,
16,20.1481113434,,,20.7263679504,20.865005493199998,20.985666275,,,,,
17,20.8422908783,,,20.7529773712,20.743019104000002,20.5551662445,,,,,
18,20.7112236023,,,20.9616718292,20.9215583801,21.0148086548,,,,,
19,,,,20.2013664246,20.1813087463,20.6235923767,,,,,
20,,,,20.8735160828,20.5354633331,20.3792171478,,,,,
21,,,,20.6812915802,21.0042533875,20.8722000122,,,,,
22,,,,20.9846839905,20.6908016205,20.4985389709,,,,,
23,,,,20.9405574799,20.0366687775,20.9009017944,,,,,
24,,,,20.9603729248,20.4996318817,20.1246986389,,,,,
25,,,,20.8800926208,20.5266704559,19.996381759600002,,,,,
26,,,,20.5848464966,20.064912795999998,20.595535278299998,,,,,
27,,,,20.8854465485,20.9977054596,20.0249938965,,,,,
28,,,,20.2309951782,21.0013847351,20.3268585205,,,,,
29,,,,20.9721183777,20.2705097198,20.4973449707,,,,,
30,,,,20.6765060425,20.8883800507,20.329677581800002,,,,,
31,,,,20.7909202576,20.372426986700003,20.7867584229,,,,,
32,,,,20.8892097473,20.6719703674,20.94647789,,,,,
33,,,,20.442966461199997,20.9750175476,20.8587589264,,,,,
34,,,,20.0089073181,20.2728233337,20.347705841099998,,,,,
35,,,,20.6258621216,20.5177154541,20.8499794006,,,,,
36,,,,20.079597473099998,20.7762832642,20.5643539429,,,,,
37,,,,20.736022949200002,20.7084846497,20.8069400787,,,,,
38,,,,20.0433654785,20.162277221700002,20.5561847687,,,,,
39,,,,20.8975753784,20.9470806122,20.4008560181,,,,,
40,,,,20.2086677551,20.9166030884,20.7436885834,,,,,
41,,,,20.3145065308,20.022480011,20.6588039398,,,,,
42,,,,,20.008605957,20.6644420624,,,,,
43,,,,,20.6118354797,20.5723800659,,,,,
44,,,,,20.372810363800003,20.2999954224,,,,,
45,,,,,20.314018249500002,20.6849594116,,,,,
46,,,,,20.5382652283,20.6826114655,,,,,
47,,,,,20.5782756805,20.5250015259,,,,,
48,,,,,20.2244510651,21.007551193199998,,,,,
49,,,,,20.2920722961,20.529586792,,,,,
50,,,,,20.122566223099998,20.7605438232,,,,,
51,,,,,20.614450454700002,19.9673347473,,,,,
52,,,,,20.9343509674,20.103298187300002,,,,,
53,,,,,20.430065155,20.9049110413,,,,,
54,,,,,20.1666297913,20.6130809784,,,,,
55,,,,,20.8098907471,20.132898330699998,,,,,
56,,,,,20.0101699829,20.8077545166,,,,,
57,,,,,20.8172588348,20.7178268433,,,,,
58,,,,,20.4492835999,21.0063972473,,,,,
59,,,,,20.5523281097,20.9870796204,,,,,
60,,,,,20.978679657,20.7670288086,,,,,
61,,,,,20.6650028229,20.488449096700002,,,,,
62,,,,,20.6831493378,20.302778244000002,,,,,
63,,,,,20.2164230347,20.8072719574,,,,,
64,,,,,20.5378398895,21.0006580353,,,,,
65,,,,,20.479501724200002,20.329284668,,,,,
66,,,,,21.0313911438,20.943019866900002,,,,,
67,,,,,20.477079391500002,20.6531677246,,,,,
68,,,,,20.104221344000003,20.2596225739,,,,,
69,,,,,20.905256271400003,21.0175304413,,,,,
70,,,,,20.9233551025,19.959342956500002,,,,,
71,,,,,20.284614562999998,20.615818023699997,,,,,
72,,,,,20.0266265869,,,,,,
73,,,,,20.5727233887,,,,,,
74,,,,,20.2826480865,,,,,,
75,,,,,20.3251914978,,,,,,
76,,,,,20.5674591064,,,,,,
77,,,,,20.967912674,,,,,,
78,,,,,20.1926269531,,,,,,
79,,,,,20.383058548,,,,,,
80,,,,,20.338058471700002,,,,,,
81,,,,,20.2318515778,,,,,,
82,,,,,20.6652622223,,,,,,
83,,,,,20.4498615265,,,,,,
84,,,,,20.5808753967,,,,,,
85,,,,,20.5417366028,,,,,,
86,m 20.6060901441,m nan,m 20.3224925995,m 20.6151944569,m 20.5170636066,m 20.6099891398,m 20.6283372732,m nan,m nan,m nan,m nan
